sujeto,grupo,canal,condicion,var_baseline,var_senal,snr,metodo
co2a0000364,alcoholic,P8,S1 obj,0.14459317429162682,4.1771128758339735,28.88872795204873,homogeneo
co2a0000364,alcoholic,P8,S2 match,0.030263688287974756,11.614859373351228,383.7886269125492,homogeneo
co2a0000364,alcoholic,P8,S2 nomatch,0.07429922460461624,6.080893885080763,81.84330209958819,homogeneo
co2a0000364,alcoholic,PO8,S1 obj,0.7533394036861685,4.7876849427536134,6.355282783997453,homogeneo
co2a0000364,alcoholic,PO8,S2 match,0.3522170083415436,5.061236481586616,14.36965382625348,homogeneo
co2a0000364,alcoholic,PO8,S2 nomatch,0.4756646052092169,4.740712465879181,9.966502476664246,homogeneo
co2a0000364,alcoholic,T8,S1 obj,0.3303324853232373,1.613599882673152,4.884775050489541,homogeneo
co2a0000364,alcoholic,T8,S2 match,0.30488494434916175,13.144702192570765,43.11364807019506,homogeneo
co2a0000364,alcoholic,T8,S2 nomatch,0.5669125773265622,2.834618334168474,5.000097806148392,homogeneo
co2a0000364,alcoholic,TP8,S1 obj,0.2506670868742544,2.558253596048692,10.205781811842032,homogeneo
co2a0000364,alcoholic,TP8,S2 match,0.1153047632516614,9.82513277265625,85.21012051524838,homogeneo
co2a0000364,alcoholic,TP8,S2 nomatch,0.10101887246618488,3.7067601672912884,36.6937392667107,homogeneo
co2a0000365,alcoholic,P8,S1 obj,0.06011106733752047,9.805495796174483,163.12296937129966,homogeneo
co2a0000365,alcoholic,P8,S2 match,0.5768392505679479,11.804177701843985,20.46354801657785,homogeneo
co2a0000365,alcoholic,P8,S2 nomatch,0.1080545761918239,12.733110869287533,117.83962621521069,homogeneo
co2a0000365,alcoholic,PO8,S1 obj,0.269823924911624,9.568537945253556,35.462155360713695,homogeneo
co2a0000365,alcoholic,PO8,S2 match,0.9189808539029992,5.856819466748855,6.3731681045088,homogeneo
co2a0000365,alcoholic,PO8,S2 nomatch,0.11129206944011583,13.73843478680919,123.44486768845272,homogeneo
co2a0000365,alcoholic,T8,S1 obj,0.039391413331386856,1.8201799294565868,46.20753041136195,homogeneo
co2a0000365,alcoholic,T8,S2 match,1.0933333014192046,9.625476903426383,8.803790107675312,homogeneo
co2a0000365,alcoholic,T8,S2 nomatch,0.0709652413606829,2.1260789995273055,29.95944153450345,homogeneo
co2a0000365,alcoholic,TP8,S1 obj,0.010264868723169885,5.417641997795604,527.7848303667918,homogeneo
co2a0000365,alcoholic,TP8,S2 match,0.40319074871656857,10.86269679531797,26.941830460882255,homogeneo
co2a0000365,alcoholic,TP8,S2 nomatch,0.2639355373275557,6.506848290017613,24.653172346179083,homogeneo
co2a0000368,alcoholic,P8,S1 obj,0.06581966744493829,9.882013244438875,150.13769634593964,homogeneo
co2a0000368,alcoholic,P8,S2 match,1.0400656425915327,7.121993243310246,6.847638217876679,homogeneo
co2a0000368,alcoholic,P8,S2 nomatch,0.7005862183645447,7.223791139896195,10.311066576158868,homogeneo
co2a0000368,alcoholic,PO8,S1 obj,1.4425996964643926,13.580500159508276,9.413907539833925,homogeneo
co2a0000368,alcoholic,PO8,S2 match,0.02148380189159279,7.466842461024469,347.5568476521119,homogeneo
co2a0000368,alcoholic,PO8,S2 nomatch,0.24796311324279113,9.936593515475675,40.07286965197254,homogeneo
co2a0000368,alcoholic,T8,S1 obj,0.2637671201533887,1.716559435930527,6.50785979288205,homogeneo
co2a0000368,alcoholic,T8,S2 match,0.3462548997362713,1.6120090370587365,4.655555887545678,homogeneo
co2a0000368,alcoholic,T8,S2 nomatch,0.046233579572992275,2.1847167309881668,47.253895354111556,homogeneo
co2a0000368,alcoholic,TP8,S1 obj,0.13398042348441444,4.4611947906192375,33.29736296241962,homogeneo
co2a0000368,alcoholic,TP8,S2 match,0.6240108871035035,1.6814445494953176,2.694575662453818,homogeneo
co2a0000368,alcoholic,TP8,S2 nomatch,0.7477769088917443,3.043491884267498,4.070053311459105,homogeneo
co2a0000369,alcoholic,P8,S1 obj,0.08539945975471021,11.22969021892194,131.49603347815753,homogeneo
co2a0000369,alcoholic,P8,S2 match,0.06869758511694814,6.4572961587507445,93.99597013138221,homogeneo
co2a0000369,alcoholic,P8,S2 nomatch,0.9510103433641536,8.827086447729931,9.281798572773178,homogeneo
co2a0000369,alcoholic,PO8,S1 obj,0.06161413408537571,12.98942231053824,210.81887302902658,homogeneo
co2a0000369,alcoholic,PO8,S2 match,0.021955985514101137,5.887694650719514,268.15897865018025,homogeneo
co2a0000369,alcoholic,PO8,S2 nomatch,0.541396577798721,8.828650370233108,16.30717801381338,homogeneo
co2a0000369,alcoholic,T8,S1 obj,0.026338731403451804,1.5261977438482381,57.944998203224905,homogeneo
co2a0000369,alcoholic,T8,S2 match,0.46030908511258367,12.187208419375413,26.47614138746497,homogeneo
co2a0000369,alcoholic,T8,S2 nomatch,0.6514443885290188,5.852797830324145,8.984339927372682,homogeneo
co2a0000369,alcoholic,TP8,S1 obj,0.04311288430848169,4.675881580838657,108.45670977106862,homogeneo
co2a0000369,alcoholic,TP8,S2 match,0.21355148657008785,8.047152742669317,37.68249461484424,homogeneo
co2a0000369,alcoholic,TP8,S2 nomatch,0.8358663729408048,5.323323141004678,6.368629380645835,homogeneo
co2a0000370,alcoholic,P8,S1 obj,0.2768741997395113,10.423857826055055,37.64835378616725,homogeneo
co2a0000370,alcoholic,P8,S2 match,0.15876253719477368,11.095844719110845,69.88956535444,homogeneo
co2a0000370,alcoholic,P8,S2 nomatch,0.00836381923448071,6.880453328258365,822.6449108193281,homogeneo
