canal,condicion,n_control,n_alcoholic,media_ctrl,media_alc,cohen_d,metodo
P8,S1 obj,10,10,6.218101203704371,5.33326667124941,0.3101941709037864,homogeneo
P8,S2 nomatch,10,10,4.913108765156723,5.347098907546441,-0.1349819250588992,homogeneo
PO8,S1 obj,10,10,5.308362908385609,6.236112428845586,-0.3182806265003137,homogeneo
PO8,S2 nomatch,10,10,5.736168903342392,5.878811559606942,-0.04014184836078075,homogeneo
T8,S1 obj,10,10,4.406452511386039,3.162699708372638,0.6464395280651316,homogeneo
T8,S2 nomatch,10,10,4.76018680274114,4.182222745637242,0.27780305460444743,homogeneo
TP8,S1 obj,10,10,5.323862021102763,3.7840023252825565,0.7986516282549379,homogeneo
TP8,S2 nomatch,10,10,4.093900699747348,4.5108309217517695,-0.2036678259622679,homogeneo
P8,S1 obj,10,10,9.002459819856083,8.505733914936341,0.11964689240369687,ponderado
P8,S2 nomatch,10,10,8.981543131443335,8.964182358853458,0.004208404788125119,ponderado
PO8,S1 obj,10,10,7.163723891977005,9.764178530797306,-0.6054497249944805,ponderado
PO8,S2 nomatch,10,10,9.988173337149915,10.364597132751719,-0.08249759392293912,ponderado
T8,S1 obj,10,10,8.101753816263606,6.01484867694888,0.478814233037599,ponderado
T8,S2 nomatch,10,10,8.227250935330577,8.575880071940976,-0.08131722223474398,ponderado
TP8,S1 obj,10,10,8.212405991932922,6.518101593222947,0.5807374887310949,ponderado
TP8,S2 nomatch,10,10,7.977674265695958,8.67125026141765,-0.17036438716149357,ponderado
