canal,condicion,n_sujetos,r_pearson,p_corr,r_sb
P8,S1 obj,121,0.7376319792975985,4.956146843390174e-22,0.8490082918429838
PO8,S1 obj,121,0.8439989369104092,5.486859952789602e-34,0.9154006762330523
T8,S1 obj,121,0.4921208327461383,9.878017027264735e-09,0.6596259792719685
TP8,S1 obj,121,0.5815893477796282,2.6504175584142865e-12,0.7354492474245777
P8,S2 nomatch,121,0.7632546587247325,2.532443749468895e-24,0.8657338915262004
PO8,S2 nomatch,121,0.7884233522023724,7.106422415168774e-27,0.8816965526998518
T8,S2 nomatch,121,0.3505074674953751,8.102382846505092e-05,0.5190752008878846
TP8,S2 nomatch,121,0.6075360126447009,1.4838761573065755e-13,0.7558599096578735
